211.5,2020-07-22 10:50:50
211.5,2020-07-22 10:50:50
211.5,2020-07-22 10:50:52
211.45,2020-07-22 10:50:52
211.45,2020-07-22 10:50:53
211.4,2020-07-22 10:50:54
211.4,2020-07-22 10:50:54
211.5,2020-07-22 10:50:55
211.4,2020-07-22 10:50:56
211.45,2020-07-22 10:50:56
211.5,2020-07-22 10:50:57
211.5,2020-07-22 10:50:57
211.5,2020-07-22 10:50:58
211.5,2020-07-22 10:50:59
211.5,2020-07-22 10:51:00
211.5,2020-07-22 10:51:01
211.55,2020-07-22 10:51:02
211.55,2020-07-22 10:51:02
211.55,2020-07-22 10:51:03
211.6,2020-07-22 10:51:04
211.45,2020-07-22 10:51:04
211.45,2020-07-22 10:51:05
211.6,2020-07-22 10:51:06
211.6,2020-07-22 10:51:07
211.45,2020-07-22 10:51:08
211.45,2020-07-22 10:51:09
211.45,2020-07-22 10:51:09
211.45,2020-07-22 10:51:10
211.45,2020-07-22 10:51:12
211.4,2020-07-22 10:51:12
211.4,2020-07-22 10:51:13
211.4,2020-07-22 10:51:13
211.4,2020-07-22 10:51:14
211.4,2020-07-22 10:51:16
211.45,2020-07-22 10:51:17
211.45,2020-07-22 10:51:18
211.35,2020-07-22 10:51:18
211.4,2020-07-22 10:51:19
211.4,2020-07-22 10:51:19
211.45,2020-07-22 10:51:20
211.45,2020-07-22 10:51:20
211.4,2020-07-22 10:51:21
211.4,2020-07-22 10:51:22
211.4,2020-07-22 10:51:23
211.45,2020-07-22 10:51:23
211.35,2020-07-22 10:51:24
211.35,2020-07-22 10:51:25
211.35,2020-07-22 10:51:26
211.4,2020-07-22 10:51:27
211.4,2020-07-22 10:51:27
211.4,2020-07-22 10:51:28
211.25,2020-07-22 10:51:28
211.4,2020-07-22 10:51:29
211.4,2020-07-22 10:51:30
211.25,2020-07-22 10:51:30
211.25,2020-07-22 10:51:31
211.4,2020-07-22 10:51:31
211.4,2020-07-22 10:51:32
211.4,2020-07-22 10:51:33
211.3,2020-07-22 10:51:34
211.35,2020-07-22 10:51:36
211.35,2020-07-22 10:51:37
211.35,2020-07-22 10:51:38
211.4,2020-07-22 10:51:38
211.4,2020-07-22 10:51:39
211.4,2020-07-22 10:51:40
211.4,2020-07-22 10:51:41
211.4,2020-07-22 10:51:42
211.4,2020-07-22 10:51:42
211.3,2020-07-22 10:51:44
211.4,2020-07-22 10:51:44
211.4,2020-07-22 10:51:44
211.4,2020-07-22 10:51:45
211.4,2020-07-22 10:51:46
211.4,2020-07-22 10:51:47
211.4,2020-07-22 10:51:48
211.45,2020-07-22 10:51:49
211.45,2020-07-22 10:51:50
211.4,2020-07-22 10:51:51
211.45,2020-07-22 10:51:53
211.4,2020-07-22 10:51:53
211.4,2020-07-22 10:51:54
211.4,2020-07-22 10:51:54
211.4,2020-07-22 10:51:55
211.4,2020-07-22 10:51:56
211.4,2020-07-22 10:51:57
